,MAE,RMSE
1,0.12769234835198431,0.1711508439949745
2,0.15520637888800015,0.2025803276251912
3,0.173793253121954,0.22302739959835216
4,0.18873041879498598,0.2386234989014343
5,0.20172403594761185,0.25123328078378476
6,0.21223223141648553,0.26093710941811044
7,0.2204715054143559,0.2681723889661448
8,0.22730402174321088,0.2738801089711708
9,0.2329495923988747,0.2782530916932989
10,0.23731805429314123,0.281763432412054
11,0.24154503124229837,0.2851942350175152
12,0.24506265218510773,0.28827221295094174
