,MAE,RMSE
1,1.7110687414805097,2.2276762974057376
2,2.295303463935852,2.9387910239762047
3,2.7205180327097573,3.4355910608737403
4,3.03343342145284,3.804189883218127
5,3.268938938776652,4.082545072498165
6,3.454001474380493,4.299719382429902
7,3.598654556274414,4.467460281187801
8,3.726472139358521,4.607156861820611
9,3.841708008448283,4.728736669701543
10,3.938506491978963,4.827711644849742
11,4.024410661061605,4.917491436805417
12,4.1017682711283365,5.00027004769488
